Link Text,URL
View Profile,http://lahore.comsats.edu.pk/employees/874
Mr. Abdul Qayyum,http://lahore.comsats.edu.pk/employees/278
Send Message,/Message.aspx?D=278
View Profile,http://lahore.comsats.edu.pk/employees/278
Mr. Akhzar Nazir,http://lahore.comsats.edu.pk/employees/1295
Send Message,/Message.aspx?D=1295
View Profile,http://lahore.comsats.edu.pk/employees/1295
Mr. Amaid Zia,http://lahore.comsats.edu.pk/employees/1239
Send Message,/Message.aspx?D=1239
View Profile,http://lahore.comsats.edu.pk/employees/1239
Ms. Asmara Safder,http://lahore.comsats.edu.pk/employees/1037
Send Message,/Message.aspx?D=1037
View Profile,http://lahore.comsats.edu.pk/employees/1037
Ms. Ayesha Muqaddas,http://lahore.comsats.edu.pk/employees/1337
Send Message,/Message.aspx?D=1337
View Profile,http://lahore.comsats.edu.pk/employees/1337
Ms. Fareeha Iftikhar,http://lahore.comsats.edu.pk/employees/954
Send Message,/Message.aspx?D=954
View Profile,http://lahore.comsats.edu.pk/employees/954
Ms. Gull Bano Anwar,http://lahore.comsats.edu.pk/employees/1353
Send Message,/Message.aspx?D=1353
View Profile,http://lahore.comsats.edu.pk/employees/1353
Ms. Hina Saleem,http://lahore.comsats.edu.pk/employees/1358
Send Message,/Message.aspx?D=1358
View Profile,http://lahore.comsats.edu.pk/employees/1358
Ms. Humaira Afzal,http://lahore.comsats.edu.pk/employees/883
Send Message,/Message.aspx?D=883
View Profile,http://lahore.comsats.edu.pk/employees/883
Mr. Imran Latif,http://lahore.comsats.edu.pk/employees/77
Send Message,/Message.aspx?D=77
View Profile,http://lahore.comsats.edu.pk/employees/77
Ms. Iqra Obaid,http://lahore.comsats.edu.pk/employees/1197
Send Message,/Message.aspx?D=1197
View Profile,http://lahore.comsats.edu.pk/employees/1197
Ms. Khaula Qadeer,http://lahore.comsats.edu.pk/employees/1355
Send Message,/Message.aspx?D=1355
View Profile,http://lahore.comsats.edu.pk/employees/1355
Ms. Maham Saleem,http://lahore.comsats.edu.pk/employees/1356
Send Message,/Message.aspx?D=1356
View Profile,http://lahore.comsats.edu.pk/employees/1356
Ms. Mahrukh Saleem,http://lahore.comsats.edu.pk/employees/1276
Send Message,/Message.aspx?D=1276
View Profile,http://lahore.comsats.edu.pk/employees/1276
Ms. Mahwish Waqas,http://lahore.comsats.edu.pk/employees/692
Send Message,/Message.aspx?D=692
View Profile,http://lahore.comsats.edu.pk/employees/692
Ms. Mamoona Tasadduq,http://lahore.comsats.edu.pk/employees/1247
Send Message,/Message.aspx?D=1247
View Profile,http://lahore.comsats.edu.pk/employees/1247
Mr. Muhammad Junaid Anjum,http://lahore.comsats.edu.pk/employees/1030
Send Message,/Message.aspx?D=1030
View Profile,http://lahore.comsats.edu.pk/employees/1030
Mr. Muhammad Mohsin Mehdi,http://lahore.comsats.edu.pk/employees/876
Send Message,/Message.aspx?D=876
View Profile,http://lahore.comsats.edu.pk/employees/876
Ms. Muntaha Iqbal,http://lahore.comsats.edu.pk/employees/1274
Send Message,/Message.aspx?D=1274
View Profile,http://lahore.comsats.edu.pk/employees/1274
Ms. Muntha Amjad,http://lahore.comsats.edu.pk/employees/1351
Send Message,/Message.aspx?D=1351
View Profile,http://lahore.comsats.edu.pk/employees/1351
Ms. Rabail Asghar,http://lahore.comsats.edu.pk/employees/1357
Send Message,/Message.aspx?D=1357
View Profile,http://lahore.comsats.edu.pk/employees/1357
Mr. Rana M. Ajmal,http://lahore.comsats.edu.pk/employees/71
Send Message,/Message.aspx?D=71
View Profile,http://lahore.comsats.edu.pk/employees/71
Ms. Rimsha Anam,http://lahore.comsats.edu.pk/employees/1354
Send Message,/Message.aspx?D=1354
View Profile,http://lahore.comsats.edu.pk/employees/1354
Ms. Saman Safdar,http://lahore.comsats.edu.pk/employees/1154
